epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,65.0198,3.06173,4.24351,2.89171,0,0,0,0,5.89658,5.42324,4.74501,0.00128573,0.00128573,0.00128573
71,65.8311,2.94946,4.46271,3.00322,0,0,0,0,5.89658,5.42324,4.74501,0.00130298,0.00130298,0.00130298
72,66.645,3.3273,4.98069,2.52454,0,0,0,0,5.88629,5.40899,4.73136,0.00132019,0.00132019,0.00132019
73,67.4493,3.21718,4.5274,3.02282,0,0,0,0,5.88629,5.40899,4.73136,0.00133736,0.00133736,0.00133736
74,68.2537,2.76753,4.27864,3.00397,0,0,0,0,5.88629,5.40899,4.73136,0.00135449,0.00135449,0.00135449
75,69.0652,2.44015,4.39228,2.97395,0,0,0,0,5.83243,5.37577,4.64037,0.00137158,0.00137158,0.00137158
76,69.8595,3.13005,4.39871,3.18653,0,0,0,0,5.83243,5.37577,4.64037,0.00138863,0.00138863,0.00138863
77,70.6674,2.71397,4.59378,3.01006,0,0,0,0,5.83243,5.37577,4.64037,0.00140564,0.00140564,0.00140564
78,71.4888,2.89664,3.928,2.78532,0,0,0,0,5.76672,5.30897,4.55408,0.00142261,0.00142261,0.00142261
79,72.2912,2.85274,4.54924,2.87275,0,0,0,0,5.76672,5.30897,4.55408,0.00143954,0.00143954,0.00143954
80,73.0768,2.94837,3.85535,2.63519,0,0,0,0,5.76672,5.30897,4.55408,0.00145643,0.00145643,0.00145643
81,73.8973,2.87441,3.5365,2.73056,0,0,0,0,5.70249,5.27211,4.47999,0.00147328,0.00147328,0.00147328
82,74.7,3.09193,3.49731,2.6787,0,0,0,0,5.70249,5.27211,4.47999,0.00149009,0.00149009,0.00149009
83,75.4914,2.60565,4.1454,2.9506,0,0,0,0,5.70249,5.27211,4.47999,0.00150686,0.00150686,0.00150686
84,76.3137,3.2445,4.34699,3.10768,0,0,0,0,5.65276,5.23389,4.41798,0.0015236,0.0015236,0.0015236
85,77.0994,2.88077,3.69413,2.92804,0,0,0,0,5.65276,5.23389,4.41798,0.00154029,0.00154029,0.00154029
