epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,77.892,1.79054,1.58861,1.77488,0.70711,0.77778,0.83061,0.50744,1.52869,1.61833,1.79416,0.0008318,0.0008318,0.0008318
61,79.1201,1.77173,1.50736,1.67226,0.70177,0.78501,0.80061,0.51327,1.48173,1.60442,1.77227,0.000812,0.000812,0.000812
62,80.3412,1.71506,1.60775,1.67632,0.65849,0.77778,0.78494,0.5336,1.46052,1.55777,1.77242,0.0007922,0.0007922,0.0007922
63,81.5603,1.68485,1.50126,1.56372,0.70679,0.80546,0.77811,0.46721,1.46124,1.43398,1.7429,0.0007724,0.0007724,0.0007724
64,82.785,1.73075,1.53908,1.70311,0.60633,0.77778,0.81126,0.47671,1.5458,1.45003,1.81542,0.0007526,0.0007526,0.0007526
65,84.0033,1.62705,1.4496,1.68971,0.59034,0.80207,0.82214,0.47176,1.64892,1.42312,1.83945,0.0007328,0.0007328,0.0007328
66,85.2206,1.80949,1.57439,1.72552,0.6944,0.66667,0.80443,0.47011,1.71055,1.38842,1.80087,0.000713,0.000713,0.000713
67,86.4492,1.82098,1.58986,1.757,0.72223,0.66667,0.77221,0.44549,1.72465,1.38431,1.76701,0.0006932,0.0006932,0.0006932
68,87.6912,1.74838,1.54391,1.75797,0.73393,0.66667,0.812,0.50144,1.60292,1.37586,1.75718,0.0006734,0.0006734,0.0006734
69,88.906,1.73432,1.48244,1.65255,0.72641,0.66667,0.82286,0.52268,1.57162,1.36148,1.768,0.0006536,0.0006536,0.0006536
70,90.1298,1.76413,1.53089,1.74055,0.63936,0.98584,0.84021,0.52759,1.56132,1.3321,1.74829,0.0006338,0.0006338,0.0006338
71,91.3881,1.68426,1.46536,1.66723,0.72561,0.88889,0.88971,0.5538,1.53655,1.37203,1.74705,0.000614,0.000614,0.000614
72,92.64,1.78506,1.54948,1.71243,0.69559,0.76307,0.84607,0.50522,1.53397,1.40214,1.73221,0.0005942,0.0005942,0.0005942
73,93.8606,1.62594,1.39079,1.51632,0.94601,0.55556,0.81593,0.46772,1.53615,1.35764,1.68939,0.0005744,0.0005744,0.0005744
74,95.0753,1.61315,1.37832,1.62885,0.73507,0.66667,0.77944,0.42808,1.60452,1.44423,1.74871,0.0005546,0.0005546,0.0005546
75,96.299,1.61011,1.42802,1.54932,0.73835,0.66667,0.76924,0.40922,1.63028,1.53488,1.7845,0.0005348,0.0005348,0.0005348
76,97.5476,1.56114,1.30532,1.52123,0.73988,0.66667,0.76536,0.44777,1.55422,1.522,1.75339,0.000515,0.000515,0.000515
77,98.7638,1.59601,1.31434,1.50438,0.73789,0.66667,0.76632,0.45439,1.47987,1.40487,1.7086,0.0004952,0.0004952,0.0004952
78,99.9766,1.61567,1.42008,1.5668,0.7732,0.75947,0.80604,0.47276,1.46292,1.35426,1.70752,0.0004754,0.0004754,0.0004754
79,101.203,1.44749,1.23963,1.48928,0.70726,0.80735,0.86429,0.51864,1.47944,1.30912,1.68798,0.0004556,0.0004556,0.0004556
80,102.466,1.59076,1.32507,1.50434,0.6875,1,0.86596,0.52837,1.47887,1.26014,1.65501,0.0004358,0.0004358,0.0004358
81,103.681,1.51609,1.30989,1.44461,0.64658,1,0.87842,0.54695,1.44989,1.27093,1.64122,0.000416,0.000416,0.000416
82,104.889,1.53084,1.38174,1.51961,0.6866,0.97527,0.87859,0.5319,1.44006,1.2479,1.62884,0.0003962,0.0003962,0.0003962
83,106.104,1.64174,1.24293,1.43216,0.6851,0.96879,0.87859,0.51634,1.44222,1.29584,1.63152,0.0003764,0.0003764,0.0003764
84,107.335,1.60794,1.35677,1.58358,0.65602,0.84983,0.86131,0.54832,1.4349,1.25091,1.61648,0.0003566,0.0003566,0.0003566
85,108.577,1.50781,1.34308,1.57287,0.6751,0.92542,0.86131,0.54564,1.46624,1.31021,1.66628,0.0003368,0.0003368,0.0003368
86,109.788,1.60007,1.36247,1.59801,0.6651,1,0.86131,0.53345,1.47771,1.31603,1.68304,0.000317,0.000317,0.000317
